brand,pct_both_greenwash,pct_both_substantive,pct_disagreement
L'Oreal,0.4348,0.3913,0.1739
Shein,0.3583,0.3909,0.2508
Eileen Fisher,0.2308,0.4615,0.3077
Everlane,0.2273,0.3737,0.399
Reformation,0.193,0.2982,0.5088
L'Occitane,0.1828,0.5412,0.276
Ralph Lauren,0.1802,0.5407,0.2791
H&M,0.17,0.5497,0.2803
Lululemon,0.1447,0.5277,0.3277
Zara,0.1126,0.6813,0.2061
Kering,0.0899,0.6629,0.2472
Unilever,0.0732,0.7114,0.2154
Lush,0.0704,0.7183,0.2113
Patagonia,0.0536,0.4509,0.4955
Sephora,0.0432,0.6187,0.3381
Puma,0.029,0.7744,0.1966
