Word,Coefficient,Category
impact,0.5181073524158245,Greenwash-risk
chain,0.3851671516297539,Greenwash-risk
communities,0.3696501161842374,Greenwash-risk
actions,0.34077466906376075,Greenwash-risk
innovation,0.3334512408739493,Greenwash-risk
across,0.325420521159054,Greenwash-risk
supply,0.323082906240736,Greenwash-risk
responsible,0.3132993478278474,Greenwash-risk
future,0.3128909310998837,Greenwash-risk
materials,0.2955930353993362,Greenwash-risk
materiality,0.34980788798163925,Substantive
data,0.25019733191300303,Substantive
information,0.24742192563094986,Substantive
report,0.22711626126752818,Substantive
scope,0.1950908373092896,Substantive
analysis,0.19356944011914304,Substantive
time,0.19258128559268284,Substantive
statement,0.18942369998571096,Substantive
strategy,0.18522706613005913,Substantive
double,0.18368687848298879,Substantive
